ds,yhat,yhat_lower,yhat_upper
2009-12-31,996430.7118287769,883302.5595880552,1107920.0994905576
2010-01-31,623275.7962226883,509817.75912371755,738991.7340750077
2010-02-28,512644.207317269,403704.0407622911,619971.8035662896
2010-03-31,798157.5538864967,684617.8685532224,921652.9820845403
2010-04-30,658973.0007441969,543711.4391377752,777184.8401478156
2010-05-31,657054.596768594,543932.8237032184,775555.958750878
2010-06-30,766937.0172298469,647828.3262944174,875485.7081402803
2010-07-31,679030.7619351936,554806.1275272954,797634.3053812349
2010-08-31,733809.1119198446,612356.571854203,851049.7765894852
2010-09-30,959412.9993943025,836759.3982567575,1079856.058876799
2010-10-31,1188346.3667043364,1069432.8141558797,1306321.6631443782
2010-11-30,1474987.5528488385,1361939.0186848524,1588770.0414151691
2010-12-31,908574.9791909286,789958.1289323213,1024231.1855754481
2011-01-31,720398.272163266,599042.3964735289,828351.5559756899
2011-02-28,564565.5798022817,448705.63675217004,676290.1764013894
2011-03-31,752970.9965842476,637580.144083152,870989.5405892287
2011-04-30,560364.3675980454,439516.59514762386,671230.9885783097
2011-05-31,773434.2616327722,657187.2222753038,895625.0743654554
2011-06-30,747215.1206938287,638263.167284478,862049.9759915078
2011-07-31,691047.3618143992,570054.0141337417,802315.7244916593
2011-08-31,722759.9121015152,609971.8324818668,833311.1282016033
2011-09-30,1023635.3065332316,907774.2137937935,1140024.6923928747
2011-10-31,1132276.3956576746,1013780.0332815162,1244179.2647628607
2011-11-30,1504970.0577724602,1391605.0969057858,1613285.7899832237
2011-12-31,822249.1747814445,705871.2894386195,936715.5339127459
2012-01-31,819483.83893855,699856.3762529636,934545.9266199522
2012-02-29,427464.95511306723,316353.57939917827,531018.0341103686
2012-03-31,906573.6698296133,795620.7478592228,1026216.2500885525
2012-04-30,886906.2784828749,767383.006389088,996566.4041990992
2012-05-31,453769.618995092,336968.6013841957,571531.7147998072
2012-06-30,828533.7944609191,715668.9767323035,940467.2951134936
